target,layer,process,descriptor_family,model,r2_random_mean,r2_random_std,r2_random_n,spearman_random_mean,spearman_random_std,spearman_random_n,r2_random_sem,spearman_random_sem,r2_ood_mean,r2_ood_std,r2_ood_n,spearman_ood_mean,spearman_ood_std,spearman_ood_n,r2_ood_sem,spearman_ood_sem,r2_gap
CH4_5.8bar,A_raw_uptake,methane_storage_psa,enriched_interpretable,lgbm,0.7618083841789309,0.0021564742138086004,4,0.8761750154709418,0.0013387407292818837,4,0.0010782371069043002,0.0006693703646409419,0.3099348867981439,0.14586830502864917,4,0.6511585834162601,0.028719357656705767,4,0.07293415251432459,0.014359678828352884,0.451873497380787
CH4_65bar,A_raw_uptake,methane_storage_psa,enriched_interpretable,lgbm,0.9822670202896997,0.00011270272321631414,4,0.9913947479459984,8.506098969802677e-05,4,5.635136160815707e-05,4.2530494849013384e-05,0.9561522006091877,0.00855627304984129,4,0.9796914375245229,0.0015272743036063726,4,0.004278136524920645,0.0007636371518031863,0.02611481968051199
CH4_5.8bar,A_raw_uptake,methane_storage_psa,enriched_interpretable,rf,0.7513235481581533,0.00207276443216254,4,0.8717861054471815,0.0012079624870066554,4,0.00103638221608127,0.0006039812435033277,0.3262566804357154,0.13712326696691682,4,0.6429484309630504,0.04459235775638127,4,0.06856163348345841,0.022296178878190635,0.4250668677224379
CH4_65bar,A_raw_uptake,methane_storage_psa,enriched_interpretable,rf,0.9815773932907987,0.0001637476179962858,4,0.9911428601922934,8.165831002923764e-05,4,8.18738089981429e-05,4.082915501461882e-05,0.9557319753420344,0.009138199377973244,4,0.9795126679135816,0.0021127617369864544,4,0.004569099688986622,0.0010563808684932272,0.025845417948764382
CH4_5.8bar,A_raw_uptake,methane_storage_psa,enriched_interpretable,ridge,0.540728715232873,0.003735920273182292,4,0.752162546683055,0.0012910056033834788,4,0.001867960136591146,0.0006455028016917394,0.2367363627290881,0.10552805381381992,4,0.5839241862985389,0.052822198416130804,4,0.05276402690690996,0.026411099208065402,0.3039923525037849
CH4_65bar,A_raw_uptake,methane_storage_psa,enriched_interpretable,ridge,0.9636554669475765,0.0003991625969701114,4,0.9842244188842859,0.00019641331387770154,4,0.0001995812984850557,9.820665693885077e-05,0.9491112554760995,0.00411365307696187,4,0.9758608948536087,0.000856121460490803,4,0.002056826538480935,0.0004280607302454015,0.014544211471476998
CH4_5.8bar,A_raw_uptake,methane_storage_psa,geo_plus_rac,lgbm,0.9452408217699256,0.0004629396004258456,4,0.9735419558155517,0.00019725688269495953,4,0.0002314698002129228,9.862844134747977e-05,0.6938872952905102,0.09258416973415165,4,0.8578274454173948,0.043694335902463514,4,0.046292084867075825,0.021847167951231757,0.25135352647941545
CH4_65bar,A_raw_uptake,methane_storage_psa,geo_plus_rac,lgbm,0.994295478197566,0.00010089989673251182,4,0.9970670130300172,6.834215106162837e-05,4,5.044994836625591e-05,3.417107553081418e-05,0.9751937643767082,0.0055065697249811274,4,0.9873801919438212,0.004757684749235972,4,0.0027532848624905637,0.002378842374617986,0.01910171382085779
CH4_5.8bar,A_raw_uptake,methane_storage_psa,geo_plus_rac,rf,0.9159929619137648,0.00028639838929711667,4,0.9597944224319761,0.0002287513913264779,4,0.00014319919464855833,0.00011437569566323894,0.40091495966654744,0.2755018022813541,4,0.7725284366642818,0.076357744148714,4,0.13775090114067706,0.038178872074357,0.5150780022472173
CH4_65bar,A_raw_uptake,methane_storage_psa,geo_plus_rac,rf,0.9911321448822914,6.104972248696747e-05,4,0.9953690432667669,7.71442317692784e-05,4,3.052486124348374e-05,3.85721158846392e-05,0.9574610867465332,0.018618242652696706,4,0.9832564758021125,0.004360219808687526,4,0.009309121326348353,0.002180109904343763,0.033671058135758214
CH4_5.8bar,A_raw_uptake,methane_storage_psa,geo_plus_rac,ridge,0.8069566347535002,0.0031361081965225342,4,0.9182566908361494,0.0007060397922280218,4,0.0015680540982612671,0.0003530198961140109,0.31217731417195554,0.2608082745284443,4,0.7635136216003082,0.0677620570642826,4,0.13040413726422215,0.0338810285321413,0.49477932058154467
CH4_65bar,A_raw_uptake,methane_storage_psa,geo_plus_rac,ridge,0.9809022002777272,0.00029575794277431007,4,0.9914773761322654,0.00016551623451306182,4,0.00014787897138715504,8.275811725653091e-05,0.9601733656812577,0.010223538531235917,4,0.9801450759007054,0.0085944696788201,4,0.0051117692656179586,0.00429723483941005,0.02072883459646957
CH4_5.8bar,A_raw_uptake,methane_storage_psa,geometry_only,lgbm,0.711748253732584,0.003058301275405272,4,0.8478695982449254,0.001956799599425873,4,0.001529150637702636,0.0009783997997129365,0.29511432135866594,0.14070274820398695,4,0.629944485424605,0.03551981926310732,4,0.07035137410199348,0.01775990963155366,0.41663393237391805
CH4_65bar,A_raw_uptake,methane_storage_psa,geometry_only,lgbm,0.9777760352020702,0.00022742361501467694,4,0.9896871366651788,5.5699695189543643e-05,4,0.00011371180750733847,2.7849847594771822e-05,0.9495509297195468,0.011066351883394897,4,0.9779902746774223,0.0013306641633673082,4,0.005533175941697449,0.0006653320816836541,0.028225105482523438
CH4_5.8bar,A_raw_uptake,methane_storage_psa,geometry_only,rf,0.7147016264978189,0.0030483950477492917,4,0.8513253656995496,0.0014509994903579818,4,0.0015241975238746458,0.0007254997451789909,0.2952085276622044,0.13477106189113983,4,0.6284518442377023,0.05228628235539769,4,0.06738553094556991,0.026143141177698843,0.4194930988356145
CH4_65bar,A_raw_uptake,methane_storage_psa,geometry_only,rf,0.9788752741447305,0.00018939776240144612,4,0.9898977120693648,8.619223197573297e-05,4,9.469888120072306e-05,4.309611598786648e-05,0.9497878605238065,0.008828923810321333,4,0.9777004818419921,0.0018871168420376966,4,0.004414461905160667,0.0009435584210188483,0.02908741362092404
CH4_5.8bar,A_raw_uptake,methane_storage_psa,geometry_only,ridge,0.42803092749139454,0.003181320606651711,4,0.682521751835684,0.0015288653096397428,4,0.0015906603033258556,0.0007644326548198714,0.0710973190260821,0.12611339959572107,4,0.507569885246086,0.08959810578449581,4,0.06305669979786054,0.044799052892247906,0.3569336084653124
CH4_65bar,A_raw_uptake,methane_storage_psa,geometry_only,ridge,0.9239253847273154,0.0002731885094669696,4,0.9706432292398381,0.0005099450959464673,4,0.0001365942547334848,0.00025497254797323364,0.8920865614726795,0.029601694811616477,4,0.9600968841113359,0.01089487661058501,4,0.014800847405808238,0.005447438305292505,0.03183882325463594
CH4_5.8bar,A_raw_uptake,methane_storage_psa,geometry_plus_topology,lgbm,0.8132932723564366,0.0011251780502300405,4,0.9028892567470921,0.0007122031247375574,4,0.0005625890251150203,0.0003561015623687787,0.23720129551733427,0.15727341293949812,4,0.6206972329924385,0.03058696459999305,4,0.07863670646974906,0.015293482299996525,0.5760919768391023
CH4_65bar,A_raw_uptake,methane_storage_psa,geometry_plus_topology,lgbm,0.9844992701086341,5.206063748536739e-05,4,0.9925338740052572,8.003946132032139e-05,4,2.6030318742683695e-05,4.0019730660160695e-05,0.9518235192845718,0.00730838908155543,4,0.9800991504122127,0.0015128589005943098,4,0.003654194540777715,0.0007564294502971549,0.03267575082406238
CH4_5.8bar,A_raw_uptake,methane_storage_psa,geometry_plus_topology,rf,0.8082079903665199,0.0015566993485832147,4,0.8985564085107669,0.0010281949409275545,4,0.0007783496742916074,0.0005140974704637772,0.22779570357580337,0.15739998250005205,4,0.5994082067724291,0.06941775658457609,4,0.07869999125002602,0.034708878292288046,0.5804122867907165
CH4_65bar,A_raw_uptake,methane_storage_psa,geometry_plus_topology,rf,0.9829685287964669,0.00016725866460250125,4,0.9920591342566711,4.54734964465223e-05,4,8.362933230125063e-05,2.273674822326115e-05,0.9552201517043555,0.0075631360109998675,4,0.9799624070643541,0.001975248882056618,4,0.0037815680054999338,0.000987624441028309,0.02774837709211142
CH4_5.8bar,A_raw_uptake,methane_storage_psa,geometry_plus_topology,ridge,0.6345934871200924,0.0016302060133778957,4,0.8087773571372056,0.0003947894117541297,4,0.0008151030066889479,0.00019739470587706485,0.11333717099009835,0.2920744811742688,4,0.6016785747317587,0.03578177275556664,4,0.1460372405871344,0.01789088637778332,0.5212563161299941
CH4_65bar,A_raw_uptake,methane_storage_psa,geometry_plus_topology,ridge,0.9666730069144174,0.0002458296322446104,4,0.9855257367409767,0.0001257287352743252,4,0.0001229148161223052,6.28643676371626e-05,0.899590669756245,0.03882682524997651,4,0.9755745847227673,0.0013898905966211958,4,0.019413412624988254,0.0006949452983105979,0.06708233715817236
CH4_5.8bar,A_raw_uptake,methane_storage_psa,rac_only,lgbm,0.8020261972378154,0.0009574256406726485,4,0.9036954469497822,0.0005292584093890794,4,0.00047871282033632427,0.0002646292046945397,0.01459083017872713,0.2750391130118675,4,0.5892203314454998,0.10233243738187357,4,0.13751955650593375,0.051166218690936786,0.7874353670590883
CH4_65bar,A_raw_uptake,methane_storage_psa,rac_only,lgbm,0.8166118068129141,0.0007040491664986717,4,0.8997941825530932,0.0006213856695915869,4,0.00035202458324933586,0.00031069283479579347,-0.07176682287846337,0.38662743434333857,4,0.5688947911185022,0.05137592385347854,4,0.19331371717166929,0.02568796192673927,0.8883786296913775
CH4_5.8bar,A_raw_uptake,methane_storage_psa,rac_only,rf,0.7983997887140571,0.0013121577889510395,4,0.9005174923727111,0.0009329541143649702,4,0.0006560788944755197,0.0004664770571824851,-0.241020294262289,0.6637393250985089,4,0.5254038568880177,0.08351846043623147,4,0.33186966254925443,0.041759230218115735,1.039420082976346
CH4_65bar,A_raw_uptake,methane_storage_psa,rac_only,rf,0.7829185865794756,0.000894418025099536,4,0.8829698604028438,0.0009676047721377812,4,0.000447209012549768,0.0004838023860688906,-0.21415873105155447,0.40084689658341854,4,0.4818023189797378,0.09079151344485663,4,0.20042344829170927,0.045395756722428314,0.99707731763103
CH4_5.8bar,A_raw_uptake,methane_storage_psa,rac_only,ridge,-10.079441850135495,21.414387912713522,4,0.739024487999688,0.15792657696924922,4,10.707193956356761,0.07896328848462461,-0.8815213236147033,1.6512487490827734,4,0.4213230526541957,0.19032660685336905,4,0.8256243745413867,0.09516330342668453,-9.197920526520793
CH4_65bar,A_raw_uptake,methane_storage_psa,rac_only,ridge,0.5760399875010287,0.0074025015367776064,4,0.774651402785983,0.004627486815880478,4,0.0037012507683888032,0.002313743407940239,-0.8297150997696331,1.6463059929630883,4,0.597844806153552,0.05426856614113789,4,0.8231529964815442,0.027134283070568945,1.405755087270662
CH4_5.8bar,A_raw_uptake,methane_storage_psa,topology_only,lgbm,0.39251435246454713,0.0029318397315573324,4,0.6361401397326205,0.0017306547488802376,4,0.0014659198657786662,0.0008653273744401188,-1.118047196519563,0.9113974758923904,4,,,0,0.4556987379461952,,1.5105615489841102
CH4_65bar,A_raw_uptake,methane_storage_psa,topology_only,lgbm,0.33905943250675974,0.0036298205007578442,4,0.5607892740353759,0.003047153413664681,4,0.0018149102503789221,0.0015235767068323405,-0.49426424871605446,0.6448857561459792,4,,,0,0.3224428780729896,,0.8333236812228142
CH4_5.8bar,A_raw_uptake,methane_storage_psa,topology_only,rf,0.39176849896092014,0.0029484438331752816,4,0.6356672921778896,0.0016971090903485323,4,0.0014742219165876408,0.0008485545451742661,-1.01919470843582,0.8454417336714729,4,,,0,0.42272086683573645,,1.41096320739674
CH4_65bar,A_raw_uptake,methane_storage_psa,topology_only,rf,0.3198589268193287,0.0021636721610077455,4,0.551090711464425,0.0033818487571924166,4,0.0010818360805038727,0.0016909243785962083,-0.5614222343444519,0.7601588841558862,4,,,0,0.3800794420779431,,0.8812811611637806
CH4_5.8bar,A_raw_uptake,methane_storage_psa,topology_only,ridge,0.3943112586531445,0.0028917189317778395,4,0.6369660658749262,0.0017592899200496463,4,0.0014458594658889198,0.0008796449600248232,-1.3031415653581249,1.195772219534837,4,,,0,0.5978861097674185,,1.6974528240112694
CH4_65bar,A_raw_uptake,methane_storage_psa,topology_only,ridge,0.3443300131994686,0.003435403660603148,4,0.5650988410432731,0.0032738878872523333,4,0.001717701830301574,0.0016369439436261667,-0.4579302667283148,0.5720821048070032,4,,,0,0.2860410524035016,,0.8022602799277834
ngp_CH4_0.9bar,A_raw_uptake,natural_gas_purification,enriched_interpretable,lgbm,0.7897268047609431,0.002359945156683451,4,0.8957795465857514,0.0008979313102892211,4,0.0011799725783417255,0.00044896565514461055,0.22477238211297854,0.21965789200943667,4,0.6560388790123441,0.03396709853583751,4,0.10982894600471833,0.016983549267918754,0.5649544226479646
ngp_CH4_9.0bar,A_raw_uptake,natural_gas_purification,enriched_interpretable,lgbm,0.822155803046033,0.0010866525358454672,4,0.8918941486552121,0.0003326361582671346,4,0.0005433262679227336,0.0001663180791335673,0.6231348431781717,0.1398974540457344,4,0.7418341600400173,0.11144807784962733,4,0.0699487270228672,0.05572403892481367,0.19902095986786128
ngp_CO2_0.1bar,A_raw_uptake,natural_gas_purification,enriched_interpretable,lgbm,0.6583084038077525,0.00249643389147339,4,0.8769089083995987,0.0003900472087267608,4,0.001248216945736695,0.0001950236043633804,0.2495335855377136,0.1753472304418187,4,0.6703977639085634,0.04307999850811266,4,0.08767361522090936,0.02153999925405633,0.40877481827003886
ngp_CO2_1.0bar,A_raw_uptake,natural_gas_purification,enriched_interpretable,lgbm,0.6639338997485114,0.004499666279606684,4,0.8535700161680855,0.0012054827728714872,4,0.002249833139803342,0.0006027413864357436,0.25952379193831576,0.09451216068333769,4,0.6108068518176141,0.061077068895048915,4,0.047256080341668845,0.030538534447524458,0.4044101078101956
ngp_CH4_0.9bar,A_raw_uptake,natural_gas_purification,enriched_interpretable,rf,0.7930038943446669,0.0018465307776729866,4,0.9000313083860362,0.0010616702133389303,4,0.0009232653888364933,0.0005308351066694652,0.22362793578208162,0.20479163304819017,4,0.6508964757588828,0.03496056388349929,4,0.10239581652409509,0.017480281941749644,0.5693759585625853
ngp_CH4_9.0bar,A_raw_uptake,natural_gas_purification,enriched_interpretable,rf,0.8145441529513542,0.0012937211964791104,4,0.8865459543867009,0.0005096824946136581,4,0.0006468605982395552,0.00025484124730682905,0.6165259494164828,0.15721412520933337,4,0.719984659951169,0.13517838011011254,4,0.07860706260466668,0.06758919005505627,0.19801820353487143
ngp_CO2_0.1bar,A_raw_uptake,natural_gas_purification,enriched_interpretable,rf,0.6781700468537799,0.0036992607640275437,4,0.8884265623624369,0.0009672321990313656,4,0.0018496303820137719,0.0004836160995156828,0.2423334701328888,0.17442681612367858,4,0.6612175708811232,0.03308853537632727,4,0.08721340806183929,0.016544267688163635,0.4358365767208911
ngp_CO2_1.0bar,A_raw_uptake,natural_gas_purification,enriched_interpretable,rf,0.6632974682260908,0.003994555928791922,4,0.8509864906776547,0.0010218488451193268,4,0.001997277964395961,0.0005109244225596634,0.2590665769193389,0.11227939902432113,4,0.6172629875876386,0.07459265409668658,4,0.056139699512160565,0.03729632704834329,0.40423089130675194
ngp_CH4_0.9bar,A_raw_uptake,natural_gas_purification,enriched_interpretable,ridge,0.5525281026925237,0.0025763659061333573,4,0.7980944846619903,0.0007073122695168566,4,0.0012881829530666787,0.0003536561347584283,-0.07513074887533117,0.18103288196435321,4,0.587632147174509,0.07458945268159003,4,0.09051644098217661,0.03729472634079502,0.627658851567855
ngp_CH4_9.0bar,A_raw_uptake,natural_gas_purification,enriched_interpretable,ridge,0.6607031122950319,0.0027318296545376986,4,0.7840310126817963,0.001074708068632248,4,0.0013659148272688493,0.000537354034316124,0.5096298424967605,0.22669048494026953,4,0.6549531699475044,0.19530296352851345,4,0.11334524247013476,0.09765148176425673,0.1510732697982714
ngp_CO2_0.1bar,A_raw_uptake,natural_gas_purification,enriched_interpretable,ridge,0.484428040296887,0.0033299942962297367,4,0.802147707133316,0.0010714206428297404,4,0.0016649971481148683,0.0005357103214148702,0.1754947490425519,0.1417817796541145,4,0.6171713722254556,0.1097351960161161,4,0.07089088982705725,0.05486759800805805,0.3089332912543351
