layer,process,target,comparison,plus_family,base_family,r2_plus,r2_base,delta_r2
C_direct_log_selectivity,natural_gas_purification,ngp_log_selectivity,rac_only - geometry_only,rac_only,geometry_only,-0.055499044162396996,0.48420304752797994,-0.539702091690377
C_direct_log_selectivity,landfill_gas_vpsa,landfill_log_selectivity,rac_only - geometry_only,rac_only,geometry_only,-0.2016834499091983,0.504337716570788,-0.7060211664799863
A_raw_uptake,methane_storage_psa,CH4_5.8bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.6938872952905102,0.3099348867981439,0.3839524084923663
A_raw_uptake,methane_storage_psa,CH4_65bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.9751937643767082,0.9561522006091877,0.01904156376752053
A_raw_uptake,post_combustion_vsa,postcomb_CO2_0.015bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,-0.025477440339124524,0.07113916316209343,-0.09661660350121795
A_raw_uptake,post_combustion_vsa,postcomb_CO2_0.15bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.5052667010251307,0.2870799537463059,0.2181867472788248
A_raw_uptake,post_combustion_vsa,postcomb_N2_0.075bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,-0.3139654152066338,0.05568143958668153,-0.3696468547933153
A_raw_uptake,post_combustion_vsa,postcomb_N2_0.75bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.575553760036604,0.3283726173764123,0.24718114266019164
A_raw_uptake,pre_combustion_psa,precomb_CO2_0.4bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.5237789088254842,0.30935421377119177,0.2144246950542924
A_raw_uptake,pre_combustion_psa,precomb_CO2_16bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.8940910759157572,0.7871538952013066,0.10693718071445057
A_raw_uptake,pre_combustion_psa,precomb_H2_0.6bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.9096664949955114,0.9028077979976808,0.006858696997830593
A_raw_uptake,pre_combustion_psa,precomb_H2_24bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.9866312842342734,0.9802331387648313,0.0063981454694420625
A_raw_uptake,natural_gas_purification,ngp_CH4_0.9bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.6158336919259653,0.22477238211297854,0.3910613098129867
