target,layer,process,descriptor_family,r2_mean,r2_std,r2_sem,r2_count,spearman_mean,spearman_std,mae_mean,mae_std,rmse_mean,rmse_std
landfill_CO2_3.2bar,A_raw_uptake,landfill_gas_vpsa,rac_only,0.057302173875437,0.09275066777797868,0.04637533388898934,4,0.5097301307884675,0.09691075552955244,1.1012719105255215,0.09724160903563513,1.359178497083987,0.11467554529878397
landfill_CO2_3.2bar,A_raw_uptake,landfill_gas_vpsa,topology_only,-1.040254169417669,0.9678570136558575,0.48392850682792876,4,,,1.5923785872688343,0.6780756849618655,1.9840998272690205,0.6375976094844417
landfill_log_selectivity,C_direct_log_selectivity,landfill_gas_vpsa,enriched_interpretable,0.5212324860828655,0.0669923264408657,0.03349616322043285,4,0.7496588355645443,0.04309641391288919,0.1992404519656196,0.009837702086550984,0.2936709462959889,0.020164993527731365
landfill_log_selectivity,C_direct_log_selectivity,landfill_gas_vpsa,geo_plus_rac,0.6607574071339422,0.12286795277261309,0.061433976386306544,4,0.8432417700064703,0.07060646620669718,0.160241645078205,0.034914234158593134,0.24324188499343577,0.03441520553759945
landfill_log_selectivity,C_direct_log_selectivity,landfill_gas_vpsa,geometry_only,0.504337716570788,0.04985763336871005,0.024928816684355024,4,0.7438039518327231,0.03434268755730457,0.20021170643755945,0.011885374881290788,0.29951493930038287,0.023387794344361664
landfill_log_selectivity,C_direct_log_selectivity,landfill_gas_vpsa,geometry_plus_topology,0.48730331815694433,0.09221091721716977,0.046105458608584886,4,0.7617874834297997,0.05062446830380823,0.20493869171288617,0.011212432138653283,0.3030408254678282,0.017189783410870813
landfill_log_selectivity,C_direct_log_selectivity,landfill_gas_vpsa,rac_only,-0.2016834499091983,0.437082102346478,0.218541051173239,4,0.40745951014199994,0.21238984625580345,0.36317128840459656,0.0654835121720544,0.4565749651264265,0.05328897185845226
landfill_log_selectivity,C_direct_log_selectivity,landfill_gas_vpsa,topology_only,-0.3879500903297133,0.5234660508622965,0.26173302543114824,4,,,0.3707412168105393,0.11971809721086488,0.4985354503924986,0.11711757357575571
landfill_working_capacity,B_working_capacity,landfill_gas_vpsa,enriched_interpretable,0.41210122087201223,0.11419760018660939,0.057098800093304695,4,0.676098441587544,0.0442311899523141,0.7009758675744128,0.1044594839917633,0.9400938582527293,0.1260637842359524
landfill_working_capacity,B_working_capacity,landfill_gas_vpsa,geo_plus_rac,0.6996408611155338,0.09987826411019987,0.049939132055099936,4,0.8490305099785527,0.0349257238442897,0.5077310319832086,0.13044232599097547,0.671658390216218,0.14693285530371603
landfill_working_capacity,B_working_capacity,landfill_gas_vpsa,geometry_only,0.39908033371307466,0.12390070109410566,0.06195035054705283,4,0.6675537006251155,0.06527067471162266,0.7072375301388472,0.09771733850937567,0.947362134041358,0.10699250613181846
landfill_working_capacity,B_working_capacity,landfill_gas_vpsa,geometry_plus_topology,0.4648176740864058,0.12448976283034706,0.06224488141517353,4,0.6973544003766157,0.057695624375958945,0.66479794515318,0.08233691603868354,0.8911989254557777,0.09782806482622838
landfill_working_capacity,B_working_capacity,landfill_gas_vpsa,rac_only,-0.1158399813372215,0.37315034102594385,0.18657517051297193,4,0.42838908989989366,0.17293538755943283,1.0652116317397764,0.22470548929509576,1.2909888832606282,0.26477697691023394
landfill_working_capacity,B_working_capacity,landfill_gas_vpsa,topology_only,-1.2109728371765165,0.8868354095143897,0.44341770475719483,4,,,1.482517329978049,0.571451852106125,1.8295344600347603,0.5349765230905197
methane_storage_working_capacity,B_working_capacity,methane_storage_psa,enriched_interpretable,0.9748386746506857,0.006003587865316235,0.0030017939326581174,4,0.9862226069907372,0.008024072690461008,0.7241996758679299,0.17413466778472045,0.9601946682685222,0.26460881713546697
methane_storage_working_capacity,B_working_capacity,methane_storage_psa,geo_plus_rac,0.9846260197239425,0.003310840303908855,0.0016554201519544275,4,0.9903240763135239,0.00582242141033881,0.5716733651416773,0.08907705017205493,0.7402210302654044,0.12588605389006832
methane_storage_working_capacity,B_working_capacity,methane_storage_psa,geometry_only,0.9706852046537706,0.008585272503838401,0.004292636251919201,4,0.9848981266334551,0.008593993747628996,0.7651113613958229,0.19428762524814774,1.0383666304832155,0.3252924842461055
methane_storage_working_capacity,B_working_capacity,methane_storage_psa,geometry_plus_topology,0.9731684208329863,0.004188962962492854,0.002094481481246427,4,0.9858011122633534,0.008293418977806322,0.7344349296696642,0.13440919408340948,0.9894870725843726,0.22557048158119622
methane_storage_working_capacity,B_working_capacity,methane_storage_psa,rac_only,-0.13278689090297305,0.444973782488857,0.2224868912444285,4,0.5492171009365331,0.06098188232068146,5.1985268402379585,1.2404487172170957,6.265411839118605,1.3683941811214735
methane_storage_working_capacity,B_working_capacity,methane_storage_psa,topology_only,-0.8654640952248955,1.0645544758564107,0.5322772379282054,4,,,6.745724712742002,1.9298715769090482,7.824450719328675,1.7009212724509848
ngp_CH4_0.9bar,A_raw_uptake,natural_gas_purification,enriched_interpretable,0.22477238211297854,0.21965789200943667,0.10982894600471833,4,0.6560388790123441,0.03396709853583751,0.28990079004181335,0.17275580397114218,0.40130516858889564,0.20344856011958448
ngp_CH4_0.9bar,A_raw_uptake,natural_gas_purification,geo_plus_rac,0.6158336919259653,0.06598414696382437,0.03299207348191219,4,0.8441434499804712,0.033407215448768235,0.1912410323480756,0.0885437080245731,0.2743779169935884,0.09921514317288398
ngp_CH4_0.9bar,A_raw_uptake,natural_gas_purification,geometry_only,0.21432185270473791,0.1961938163674992,0.0980969081837496,4,0.6434343873430148,0.04079807454868347,0.28951238783213834,0.17191308848591927,0.40360421933396196,0.20005384653438016
ngp_CH4_0.9bar,A_raw_uptake,natural_gas_purification,geometry_plus_topology,0.2537450128848562,0.29545829507340804,0.14772914753670402,4,0.6512371182156571,0.057153943411485296,0.2917170453022024,0.1977123454389186,0.3989599974282857,0.23279299671477346
ngp_CH4_0.9bar,A_raw_uptake,natural_gas_purification,rac_only,-0.21315045404252386,0.20521754097560885,0.10260877048780442,4,0.5104913337797259,0.14569206343374122,0.3863625514520109,0.175664644101121,0.4954238281442398,0.213277557351088
ngp_CH4_0.9bar,A_raw_uptake,natural_gas_purification,topology_only,-0.6599272528494844,0.7459948274274173,0.37299741371370865,4,,,0.46252221150072,0.3336262929747742,0.5972809434945165,0.36925800997709585
ngp_CH4_9.0bar,A_raw_uptake,natural_gas_purification,enriched_interpretable,0.6231348431781717,0.1398974540457344,0.0699487270228672,4,0.7418341600400173,0.11144807784962733,0.6072757845739757,0.09306664534403022,0.7778703505340052,0.1167999462365835
ngp_CH4_9.0bar,A_raw_uptake,natural_gas_purification,geo_plus_rac,0.7262076008382401,0.14906343316799395,0.07453171658399697,4,0.8857966872212089,0.0442764641496471,0.5373512806965339,0.2095070019374013,0.6635650775028972,0.22156571435727476
ngp_CH4_9.0bar,A_raw_uptake,natural_gas_purification,geometry_only,0.6095769551784396,0.15439176594595083,0.07719588297297542,4,0.7234940748970026,0.12759095595264605,0.615228768779067,0.09951769996609945,0.7893451749618702,0.12453587270039214
ngp_CH4_9.0bar,A_raw_uptake,natural_gas_purification,geometry_plus_topology,0.5008489208427822,0.06989307543492537,0.034946537717462686,4,0.702002352250084,0.12562357535871604,0.7227621166454202,0.10511469595550309,0.9166485782951526,0.12494099816063034
ngp_CH4_9.0bar,A_raw_uptake,natural_gas_purification,rac_only,-0.21112685697565198,0.6638710448764406,0.3319355224382203,4,0.4630136557970646,0.19756262590102389,1.1842613930679398,0.5156509121817886,1.4299193704321607,0.5371842106639455
ngp_CH4_9.0bar,A_raw_uptake,natural_gas_purification,topology_only,-0.7573824723503018,0.46998148634961767,0.23499074317480884,4,,,1.4780510548998738,0.39738227580295,1.7291873864291432,0.40361659317436854
ngp_CO2_0.1bar,A_raw_uptake,natural_gas_purification,enriched_interpretable,0.2495335855377136,0.1753472304418187,0.08767361522090936,4,0.6703977639085634,0.04307999850811266,0.2797481843754706,0.11750199853365148,0.4596486309970997,0.1210825083500371
ngp_CO2_0.1bar,A_raw_uptake,natural_gas_purification,geo_plus_rac,0.41143034846563453,0.44125072840250856,0.22062536420125428,4,0.8010270599755739,0.06654340545635952,0.26534077856099086,0.16956792322980022,0.39181494777463144,0.15831689348460828
ngp_CO2_0.1bar,A_raw_uptake,natural_gas_purification,geometry_only,0.22885508088448892,0.17089882549924834,0.08544941274962417,4,0.6622693917235845,0.031576042914331665,0.2816894878881916,0.11982570343375895,0.46662738316877383,0.1248559897208918
ngp_CO2_0.1bar,A_raw_uptake,natural_gas_purification,geometry_plus_topology,0.20843403121672446,0.2990500619226951,0.14952503096134756,4,0.684654333958177,0.026594889672515613,0.278005828516514,0.09228501325251301,0.4610660331108075,0.08864697253625764
ngp_CO2_0.1bar,A_raw_uptake,natural_gas_purification,rac_only,-0.6473109560630681,0.6018097242503719,0.30090486212518597,4,0.3668688353978562,0.14313928385195154,0.5285410211151532,0.16794610589302367,0.6678836535083521,0.1497428868011436
ngp_CO2_0.1bar,A_raw_uptake,natural_gas_purification,topology_only,-0.29644067581695155,0.24546843538283228,0.12273421769141614,4,,,0.45976442700136133,0.13261342195472386,0.6071157982045711,0.17324458511151833
ngp_CO2_1.0bar,A_raw_uptake,natural_gas_purification,enriched_interpretable,0.25952379193831576,0.09451216068333769,0.047256080341668845,4,0.6108068518176141,0.061077068895048915,0.761731561884647,0.09798097454583542,1.0519026818881074,0.11169240324110798
ngp_CO2_1.0bar,A_raw_uptake,natural_gas_purification,geo_plus_rac,0.5660702395793833,0.28038813477360885,0.14019406738680443,4,0.8055349731227998,0.07900058464930457,0.5797675923432449,0.21626705116015088,0.7740229252600825,0.22710276339232763
ngp_CO2_1.0bar,A_raw_uptake,natural_gas_purification,geometry_only,0.25401083855676676,0.08530416821072806,0.04265208410536403,4,0.6075505665086098,0.07150590684730006,0.7604252214023685,0.09607281762275707,1.0552717510514156,0.0960015497687807
ngp_CO2_1.0bar,A_raw_uptake,natural_gas_purification,geometry_plus_topology,0.2758161986687497,0.15866679327713476,0.07933339663856738,4,0.6383219371468188,0.06955490513896541,0.7527578000804785,0.10990673355835905,1.0361248648990977,0.13357527500231905
ngp_CO2_1.0bar,A_raw_uptake,natural_gas_purification,rac_only,0.08593122126605401,0.12405790542478161,0.062028952712390804,4,0.43793530009751724,0.11728293752751752,0.9308204268459305,0.055895301808732034,1.1641604943307933,0.05291873104363673
ngp_CO2_1.0bar,A_raw_uptake,natural_gas_purification,topology_only,-0.9092936453248768,0.8337030594507898,0.4168515297253949,4,,,1.3000584237266204,0.4516528544522417,1.659467496321812,0.4046898314853147
ngp_log_selectivity,C_direct_log_selectivity,natural_gas_purification,enriched_interpretable,0.49723831096878224,0.06881039614663609,0.034405198073318044,4,0.7118214944096914,0.04735027140585603,0.24765866668781394,0.00973846994828173,0.33740447681160435,0.01412193637584214
ngp_log_selectivity,C_direct_log_selectivity,natural_gas_purification,geo_plus_rac,0.6678309676368774,0.16225430462609322,0.08112715231304661,4,0.8320818485243651,0.08285159460252951,0.1892125652036664,0.04438232479222697,0.2651707032911955,0.04207606474965494
ngp_log_selectivity,C_direct_log_selectivity,natural_gas_purification,geometry_only,0.48420304752797994,0.048879343530241724,0.024439671765120862,4,0.7060161913010702,0.03540548331048688,0.24765985489900183,0.015384226760986806,0.34259199980779886,0.01968227461741961
ngp_log_selectivity,C_direct_log_selectivity,natural_gas_purification,geometry_plus_topology,0.4611012958348134,0.08981783623907943,0.04490891811953972,4,0.7263084901783338,0.06016842087294698,0.2541813849813702,0.0163062905038517,0.3487715544815254,0.019235296991249422
ngp_log_selectivity,C_direct_log_selectivity,natural_gas_purification,rac_only,-0.055499044162396996,0.27736498910130397,0.13868249455065199,4,0.4307505012308243,0.19072969868611458,0.38857558678553417,0.05691152502816751,0.4855175692155005,0.051677080755006405
ngp_log_selectivity,C_direct_log_selectivity,natural_gas_purification,topology_only,-0.4752994790456494,0.6007042689889737,0.30035213449448683,4,,,0.44099174564442634,0.11895578400664936,0.570768015415341,0.11369557082044844
ngp_working_capacity,B_working_capacity,natural_gas_purification,enriched_interpretable,0.36452945382434687,0.11125404200029573,0.05562702100014787,4,0.6603658782973338,0.055105480508531625,0.5763555962702889,0.05863226413858523,0.7913782579067599,0.06375418682052744
ngp_working_capacity,B_working_capacity,natural_gas_purification,geo_plus_rac,0.611698357136819,0.22800279465461706,0.11400139732730853,4,0.8330402231572394,0.04833533219661473,0.45978834437524774,0.1658864187922464,0.6075639993537836,0.18772714734095175
ngp_working_capacity,B_working_capacity,natural_gas_purification,geometry_only,0.352499218107165,0.11992290643710427,0.05996145321855213,4,0.6541092832200448,0.07442150696305949,0.579478114899008,0.06389233563418432,0.7977103487167891,0.05866659197460467
ngp_working_capacity,B_working_capacity,natural_gas_purification,geometry_plus_topology,0.41654579630273436,0.11651427506030072,0.05825713753015036,4,0.692555803335695,0.05900233161493065,0.5526012018448138,0.04756082842888353,0.7576224950437572,0.06954732080979685
ngp_working_capacity,B_working_capacity,natural_gas_purification,rac_only,-0.1314359892550322,0.44077883459385236,0.22038941729692618,4,0.3923550846874003,0.18191673692442317,0.85543373838013,0.2042087879526041,1.0504930614155754,0.2219468114958419
ngp_working_capacity,B_working_capacity,natural_gas_purification,topology_only,-1.1532712190621113,0.8791403482392116,0.4395701741196058,4,,,1.1582221223560993,0.3910910443530995,1.451753440226312,0.34831871863005875
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,enriched_interpretable,0.07113916316209343,0.3160326990575347,0.15801634952876736,4,0.6041692183809186,0.09185865539908407,0.09605070987404007,0.0486111457187426,0.21864899042745697,0.060044903366766225
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,geo_plus_rac,-0.025477440339124524,0.9696861346470477,0.48484306732352384,4,0.684571292450052,0.08453355867505573,0.141607604342108,0.13072544787631293,0.22320930020971685,0.12198228685634058
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,geometry_only,0.06077156581906887,0.27923852191549686,0.13961926095774843,4,0.6009679960688733,0.06906241638190729,0.09750184366803322,0.04913892054088316,0.22119613219914241,0.06285223598332597
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,geometry_plus_topology,-0.034990424135830034,0.48382722563899655,0.24191361281949827,4,0.5983408558743293,0.09660094334402934,0.10024774602606834,0.042207933313559064,0.22466342630875158,0.04565210758419611
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,rac_only,-1.298720405151463,1.420375337839582,0.710187668919791,4,0.27464227198267344,0.22316836397946666,0.2417091586514269,0.13369434436416955,0.3333302874432981,0.1231956027908346
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,topology_only,-0.8891826233286388,0.7031025115804348,0.3515512557902174,4,,,0.2357695881563992,0.026951152796416005,0.3020535614223359,0.03692173998533449
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,enriched_interpretable,0.2870799537463059,0.18366094965604363,0.09183047482802181,4,0.7005327758163041,0.04853872918863032,0.4612789531448296,0.253798036223485,0.7207806114712907,0.2786498473428094
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,geo_plus_rac,0.5052667010251307,0.32455188553233977,0.16227594276616988,4,0.8216656549017521,0.06931779807911646,0.3862841189743239,0.216956652177648,0.5748553345933121,0.22766550029435195
