layer,process,model,descriptor_family,r2_random_mean,r2_random_std,r2_ood_mean,r2_ood_std,r2_gap_mean,r2_gap_std,n_targets
A_raw_uptake,natural_gas_purification,lgbm,geo_plus_rac,0.9158135896023137,0.03993383111908145,0.5798854702023057,0.13072927394098854,0.3359281194000079,0.09659666395672767,4
A_raw_uptake,natural_gas_purification,lgbm,geometry_only,0.689391700910355,0.09115720552188228,0.3266911818311083,0.18930184172157566,0.36270051907924666,0.14180467349963324,4
A_raw_uptake,natural_gas_purification,lgbm,geometry_plus_topology,0.781161071211446,0.0744173100113268,0.30971104090327817,0.13047576845412195,0.4714500303081678,0.10174101257059202,4
A_raw_uptake,natural_gas_purification,lgbm,rac_only,0.7531622254932995,0.05134921243428674,-0.2464142614537975,0.3019510785051272,0.999576486947097,0.28160020169016936,4
A_raw_uptake,natural_gas_purification,lgbm,topology_only,0.3233595066144153,0.13590676833862048,-0.6557610115854036,0.2605981446095944,0.9791205181998189,0.2652160932556614,4
A_raw_uptake,natural_gas_purification,rf,enriched_interpretable,0.737253890593973,0.07755062985784905,0.33538848306269803,0.18798312309443369,0.4018654075312749,0.1535937315708404,4
A_raw_uptake,natural_gas_purification,rf,geo_plus_rac,0.8907104770460135,0.0414270038894102,0.5017039615842487,0.09835149242302801,0.3890065154617648,0.10586028335073411,4
A_raw_uptake,natural_gas_purification,rf,geometry_only,0.7030152030083029,0.08202759963269503,0.32632480319996293,0.18509239141401307,0.37669039980833996,0.1465839219203753,4
A_raw_uptake,natural_gas_purification,rf,geometry_plus_topology,0.7829665568105006,0.06958759927700142,0.34415657301296354,0.15086079498901042,0.4388099837975371,0.1332736835246389,4
A_raw_uptake,natural_gas_purification,rf,rac_only,0.7468375115797736,0.05550996077939371,-0.23895448081620665,0.3250966167641054,0.9857919923959804,0.33350502140090627,4
A_raw_uptake,natural_gas_purification,rf,topology_only,0.3201528366437163,0.1382176225211304,-0.6186880799372745,0.27391377686259966,0.9388409165809908,0.35526746056076997,4
A_raw_uptake,natural_gas_purification,ridge,enriched_interpretable,0.5408793537032323,0.08814449658900574,0.22075975245014612,0.24206046270894502,0.32011960125308614,0.21563020726359947,4
A_raw_uptake,natural_gas_purification,ridge,geo_plus_rac,0.759332173464777,0.06669039356293706,0.370942665606035,0.1919852211205266,0.388389507858742,0.20308614253228627,4
A_raw_uptake,natural_gas_purification,ridge,geometry_only,0.4443439763636454,0.04632670231840547,0.1446135824822712,0.19922844285379926,0.29973039388137424,0.17798400526545308,4
A_raw_uptake,natural_gas_purification,ridge,geometry_plus_topology,0.6082053326803156,0.0865454701244197,0.19957957912194269,0.0947382948372615,0.4086257535583729,0.12381976889711278,4
A_raw_uptake,natural_gas_purification,ridge,rac_only,-3.4600512479633534,8.012614967318198,-0.6910274873601633,0.4434446525633888,-2.76902376060319,8.31934672505573,4
A_raw_uptake,natural_gas_purification,ridge,topology_only,0.32736031591190085,0.13557865037925526,-0.5823949957162933,0.24334736705538446,0.9097553116281942,0.3121082892597211,4
A_raw_uptake,post_combustion_vsa,lgbm,enriched_interpretable,0.5793998807267662,0.16641562739359778,0.1855682934678733,0.1421997571178775,0.3938315872588929,0.08206728570704744,4
A_raw_uptake,post_combustion_vsa,lgbm,geo_plus_rac,0.8065996859506349,0.11880290432046894,0.1853444013789941,0.42753937958159616,0.6212552845716408,0.3267727366554455,4
A_raw_uptake,post_combustion_vsa,lgbm,geometry_only,0.5344798859934201,0.1666549628515396,0.17774633186403055,0.1448925957047167,0.35673355412938956,0.08092044104762314,4
