target,process,layer,family,role,fold,n_mofs,recall_at_100,precision_at_100,misid_at_100,recall_at_1000,precision_at_1000,misid_at_1000
precomb_H2_0.6bar,pre_combustion_psa,A_raw_uptake,geo_plus_rac,best,0,93957,0.63,0.63,,0.422,0.422,
precomb_H2_0.6bar,pre_combustion_psa,A_raw_uptake,geo_plus_rac,best,1,53994,0.75,0.75,,0.759,0.759,
precomb_H2_0.6bar,pre_combustion_psa,A_raw_uptake,geo_plus_rac,best,2,53994,0.58,0.58,,0.651,0.651,
precomb_H2_0.6bar,pre_combustion_psa,A_raw_uptake,geo_plus_rac,best,3,53994,0.76,0.76,,0.817,0.817,
precomb_H2_24bar,pre_combustion_psa,A_raw_uptake,geometry_only,recommended,0,93957,0.74,0.74,,0.856,0.856,
precomb_H2_24bar,pre_combustion_psa,A_raw_uptake,geometry_only,recommended,1,53994,0.94,0.94,,0.921,0.921,
precomb_H2_24bar,pre_combustion_psa,A_raw_uptake,geometry_only,recommended,2,53994,0.2,0.2,,0.639,0.639,
precomb_H2_24bar,pre_combustion_psa,A_raw_uptake,geometry_only,recommended,3,53994,0.82,0.82,,0.953,0.953,
precomb_H2_24bar,pre_combustion_psa,A_raw_uptake,geo_plus_rac,best,0,93957,0.8,0.8,,0.905,0.905,
precomb_H2_24bar,pre_combustion_psa,A_raw_uptake,geo_plus_rac,best,1,53994,0.98,0.98,,0.961,0.961,
precomb_H2_24bar,pre_combustion_psa,A_raw_uptake,geo_plus_rac,best,2,53994,0.88,0.88,,0.868,0.868,
precomb_H2_24bar,pre_combustion_psa,A_raw_uptake,geo_plus_rac,best,3,53994,0.93,0.93,,0.976,0.976,
ngp_CO2_0.1bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,0,93957,0.4,0.4,,0.526,0.526,
ngp_CO2_0.1bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,1,53994,0.34,0.34,,0.256,0.256,
ngp_CO2_0.1bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,2,53994,0.47,0.47,,0.497,0.497,
ngp_CO2_0.1bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,3,53994,0.15,0.15,,0.305,0.305,
ngp_CO2_1.0bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,0,93957,0.39,0.39,,0.661,0.661,
ngp_CO2_1.0bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,1,53994,0.6,0.6,,0.33,0.33,
ngp_CO2_1.0bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,2,53994,0.86,0.86,,0.524,0.524,
ngp_CO2_1.0bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,3,53994,0.22,0.22,,0.164,0.164,
ngp_CH4_0.9bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,0,93957,0.12,0.12,,0.252,0.252,
ngp_CH4_0.9bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,1,53994,0.11,0.11,,0.208,0.208,
ngp_CH4_0.9bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,2,53994,0.18,0.18,,0.552,0.552,
ngp_CH4_0.9bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,3,53994,0.09,0.09,,0.353,0.353,
ngp_CH4_9.0bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,0,93957,0.1,0.1,,0.308,0.308,
ngp_CH4_9.0bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,1,53994,0.1,0.1,,0.383,0.383,
ngp_CH4_9.0bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,2,53994,0.41,0.41,,0.452,0.452,
ngp_CH4_9.0bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,3,53994,0.09,0.09,,0.291,0.291,
landfill_CO2_0.26bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,0,93957,0.27,0.27,,0.448,0.448,
landfill_CO2_0.26bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,1,53994,0.42,0.42,,0.304,0.304,
landfill_CO2_0.26bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,2,53994,0.35,0.35,,0.549,0.549,
landfill_CO2_0.26bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,3,53994,0.14,0.14,,0.287,0.287,
landfill_CO2_3.2bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,0,93957,0.39,0.39,,0.579,0.579,
landfill_CO2_3.2bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,1,53994,0.51,0.51,,0.323,0.323,
landfill_CO2_3.2bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,2,53994,0.75,0.75,,0.546,0.546,
landfill_CO2_3.2bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,3,53994,0.15,0.15,,0.251,0.251,
landfill_CH4_0.01bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,0,93957,0.12,0.12,,0.259,0.259,
landfill_CH4_0.01bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,1,53994,0.12,0.12,,0.236,0.236,
landfill_CH4_0.01bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,2,53994,0.23,0.23,,0.575,0.575,
landfill_CH4_0.01bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,3,53994,0.0,0.0,,0.308,0.308,
landfill_CH4_4.4bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,0,93957,0.07,0.07,,0.291,0.291,
landfill_CH4_4.4bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,1,53994,0.16,0.16,,0.353,0.353,
landfill_CH4_4.4bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,2,53994,0.33,0.33,,0.583,0.583,
landfill_CH4_4.4bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,3,53994,0.13,0.13,,0.333,0.333,
methane_storage_working_capacity,methane_storage_psa,B_working_capacity,geometry_only,recommended,0,93957,0.77,0.77,,0.68,0.68,
methane_storage_working_capacity,methane_storage_psa,B_working_capacity,geometry_only,recommended,1,53994,0.8,0.8,,0.781,0.781,
methane_storage_working_capacity,methane_storage_psa,B_working_capacity,geometry_only,recommended,2,53994,0.21,0.21,,0.409,0.409,
methane_storage_working_capacity,methane_storage_psa,B_working_capacity,geometry_only,recommended,3,53994,0.66,0.66,,0.901,0.901,
methane_storage_working_capacity,methane_storage_psa,B_working_capacity,geo_plus_rac,best,0,93957,0.76,0.76,,0.731,0.731,
methane_storage_working_capacity,methane_storage_psa,B_working_capacity,geo_plus_rac,best,1,53994,0.9,0.9,,0.866,0.866,
methane_storage_working_capacity,methane_storage_psa,B_working_capacity,geo_plus_rac,best,2,53994,0.81,0.81,,0.85,0.85,
methane_storage_working_capacity,methane_storage_psa,B_working_capacity,geo_plus_rac,best,3,53994,0.89,0.89,,0.918,0.918,
postcomb_working_capacity,post_combustion_vsa,B_working_capacity,geo_plus_rac,recommended/best,0,93957,0.34,0.34,,0.431,0.431,
postcomb_working_capacity,post_combustion_vsa,B_working_capacity,geo_plus_rac,recommended/best,1,53994,0.01,0.01,,0.176,0.176,
postcomb_working_capacity,post_combustion_vsa,B_working_capacity,geo_plus_rac,recommended/best,2,53994,0.4,0.4,,0.484,0.484,
postcomb_working_capacity,post_combustion_vsa,B_working_capacity,geo_plus_rac,recommended/best,3,53994,0.04,0.04,,0.312,0.312,
precomb_working_capacity,pre_combustion_psa,B_working_capacity,geo_plus_rac,recommended/best,0,93957,0.25,0.25,,0.442,0.442,
precomb_working_capacity,pre_combustion_psa,B_working_capacity,geo_plus_rac,recommended/best,1,53994,0.59,0.59,,0.682,0.682,
precomb_working_capacity,pre_combustion_psa,B_working_capacity,geo_plus_rac,recommended/best,2,53994,0.31,0.31,,0.441,0.441,
precomb_working_capacity,pre_combustion_psa,B_working_capacity,geo_plus_rac,recommended/best,3,53994,0.1,0.1,,0.627,0.627,
ngp_working_capacity,natural_gas_purification,B_working_capacity,geo_plus_rac,recommended/best,0,93957,0.47,0.47,,0.601,0.601,
